TV,Radio,Social Media,Influencer,Sales
Low,7.745910759,1.059993514,Macro,56.79460661
Medium,17.54113274,4.515252989,Nano,180.1869834
High,34.83022342,6.007376739,Mega,330.30906
Medium,19.37961097,2.883499957,Mega,211.2301828
Low,8.233607467,1.324969168,Mega,47.60129082
Medium,19.40467358,1.227667435,Nano,148.1785567
Low,12.25305035,2.427705252,Micro,137.9207634
High,31.53306437,4.70058828,Micro,312.5797894
High,32.27082677,1.256186655,Nano,300.0486748
Medium,17.4557372,3.492273273,Macro,170.7516549
Low,5.903771109,3.454079966,Nano,139.4600968
Medium,6.180146182,1.886427524,Micro,145.2658074
High,34.68510091,10.0302438,Mega,298.6394097
High,30.7022579,6.693904146,Micro,267.5219901
Low,9.569824803,2.216601931,Mega,97.36011862
Medium,16.09839899,2.896231565,Nano,213.3809614
Medium,10.57227241,0.978358792,Macro,206.2240263
Low,18.81472652,3.041468747,Mega,123.9521411
High,38.58436016,5.522805833,Macro,333.5663815
High,17.02920312,4.591346122,Micro,299.6631813
Low,18.66475844,3.68182399,Mega,136.1497932
Medium,15.50264678,2.655940387,Nano,213.4362695
High,25.40659637,3.215455403,Micro,262.4011715
Low,2.092054681,0.06584059,Nano,136.9539111
Medium,10.86707292,2.932960829,Nano,198.5214102
High,37.64117276,4.268640845,Mega,335.3367393
High,28.96041023,2.673042346,Nano,261.3611269
Medium,23.21694607,4.202648436,Micro,250.2521525
Low,13.44187653,5.166034391,Nano,101.2131872
High,25.58343965,3.870991902,Macro,276.0838978
High,38.20357545,6.574378925,Mega,316.5734832
Medium,14.74315816,5.086102811,Micro,152.6018822
Medium,21.34402806,1.262535921,Mega,222.592925
High,26.99627762,1.866030869,Micro,312.1486992
High,48.87116125,8.292207745,Mega,349.1560315
Low,16.10664487,0.423792124,Mega,116.4897309
High,22.23462227,4.066662577,Mega,300.5450207
Medium,19.83350146,2.169126347,Nano,247.5921365
Low,14.13534024,3.890982839,Micro,69.83370712
High,26.46683247,3.613317648,Macro,280.4982549
High,26.44800535,3.509245812,Micro,256.3737002
Medium,23.6001629,1.991318497,Micro,209.3217765
Low,19.23206627,4.730563384,Macro,85.6443847
Medium,11.1856596,1.117540683,Nano,174.947983
High,27.08974013,1.867946948,Nano,336.6476274
Low,5.809820873,1.228691086,Mega,112.8110661
High,29.62779345,4.967052169,Micro,296.5404942
Low,3.799751394,2.624138468,Mega,66.45367692
Low,12.39563737,1.908127571,Nano,58.53156501
Medium,10.24669396,0.39228441,Macro,230.1453002
Low,5.217558811,1.075065424,Nano,31.19940869
Medium,23.80856837,3.766603039,Micro,246.4947988
High,30.42745318,7.71672421,Nano,330.6437143
Medium,30.35777737,4.303529107,Macro,241.2753185
High,40.19445822,5.326762155,Macro,296.2102472
Low,16.19365273,0.792203039,Mega,117.0546557
High,30.66125373,7.211115245,Micro,291.1435571
Medium,23.29045109,5.671686076,Mega,245.979961
Low,13.41725958,6.440215299,Micro,102.6531694
High,23.77346122,4.542661031,Mega,304.9042152
Low,1.179966599,0.939788674,Mega,34.20517016
Low,6.145248262,1.591116473,Macro,32.56682505
Low,3.594371591,0.189194993,Micro,71.9003296
Medium,14.75288398,5.193192475,Mega,153.4022709
Medium,24.2342799,3.802225298,Nano,172.7968154
High,25.95737332,5.781871261,Mega,282.9717437
Medium,15.63311408,2.681854353,Micro,164.5987215
High,30.59480726,4.644486108,Mega,294.980643
Low,2.477590756,5.557077517,Nano,68.63176182
High,30.96792254,5.586192961,Nano,352.8213765
Medium,6.69975335,2.161864768,Mega,147.9228529
High,33.30626217,5.365256008,Macro,332.1394819
Low,9.184659403,0.686658382,Micro,102.2791829
Low,15.12646596,3.792188111,Nano,86.80395604
Medium,13.79194397,4.325957086,Macro,155.787445
High,37.95497728,3.772530977,Nano,348.6417083
Low,2.347193413,0.588160135,Micro,135.2616442
Low,11.75733151,3.733754349,Nano,70.20770114
Low,17.77730935,3.588287267,Nano,79.41889491
Low,8.477135293,0.608817354,Mega,61.70848657
Low,15.2710352,2.028067933,Mega,132.1550752
Low,7.16376032,3.215148198,Micro,87.76036175
Low,10.36054593,1.354422273,Mega,70.07419924
Medium,15.74523453,0.344629786,Micro,157.924518
Medium,26.81127265,7.62812867,Mega,193.8712032
Medium,13.76651754,1.667909691,Macro,149.3342017
High,23.62942306,4.262442573,Macro,282.8596166
High,24.18800586,5.899739191,Nano,264.2218327
Medium,20.91410383,1.168951922,Micro,221.3886753
Low,23.17995162,4.492850796,Macro,120.6552943
Medium,19.86645844,1.948666468,Micro,251.2414921
Low,3.290238601,2.496801639,Macro,54.25755446
Medium,10.90863806,3.192073711,Mega,158.3131509
High,19.7537397,4.996981078,Macro,257.8633264
Medium,23.04770854,1.465806506,Micro,208.8825784
High,29.75675332,3.156460901,Macro,279.061514
Medium,15.18856944,0.760136913,Macro,153.6034143
Medium,20.0109313,6.373311471,Micro,239.525809
Low,6.353393738,2.851748052,Micro,137.7317373
High,27.96329539,2.837584957,Nano,258.3754265
High,36.92625445,8.933148973,Micro,336.436557
High,26.30065656,4.204039947,Nano,314.1805472
High,27.69457686,6.330322063,Mega,264.9503875
Low,4.590911983,1.016804919,Mega,91.08533492
Low,10.83821968,3.212553047,Macro,143.3820862
Low,5.037808977,1.199564471,Mega,45.27366111
Low,5.117508649,2.209701443,Mega,83.75148225
Medium,11.75924833,5.010336123,Mega,147.8598054
High,40.73698967,4.636563904,Nano,329.3505396
High,30.28793619,5.38930619,Micro,326.9481964
High,20.62311544,6.519578952,Macro,265.8166987
Medium,21.82868204,3.852364912,Macro,226.0680983
High,26.28625575,6.917554923,Micro,328.484604
High,21.09890403,3.621742881,Micro,261.8497595
Low,3.518069641,2.293790324,Micro,55.26128448
High,25.9071224,4.715780067,Micro,260.1696705
Medium,19.71084564,2.568993237,Mega,144.5375994
Medium,20.50407599,3.431358073,Mega,208.9592114
Medium,23.06216322,2.518604614,Micro,207.2001801
High,34.77145023,6.553819539,Micro,356.5332518
Low,9.383684038,1.622313049,Nano,144.2954967
Medium,15.53732896,0.125813206,Mega,157.6872981
High,32.83596609,5.757350405,Nano,293.3031876
High,28.50516115,5.403039713,Mega,284.9089972
Low,6.816992888,3.927796211,Macro,90.57296989
High,25.39696363,2.810283955,Nano,293.4955055
Medium,24.69852188,6.741382758,Micro,223.0991462
Low,4.510090793,0.033647813,Mega,77.40214925
High,27.14371231,5.714889719,Macro,271.3634202
High,29.84551294,2.783840955,Mega,332.5900956
Low,14.95348305,0.048020677,Micro,109.541122
Medium,7.125223319,1.156608183,Mega,148.2257628
Medium,16.44434995,7.48999682,Nano,217.9190051
High,20.61068542,6.54557309,Nano,249.1019155
Low,0.936349062,0.389304514,Mega,47.04218287
Low,8.459387308,0.474236007,Mega,115.552505
Medium,18.66286971,2.145018859,Nano,225.8508972
Low,6.326904995,1.731504711,Macro,78.82350018
Medium,15.70165246,3.943078855,Macro,184.8832065
Low,9.581611964,3.153043917,Nano,121.23858
Medium,22.65504441,5.973427536,Mega,168.7785465
High,25.04555745,6.109369688,Macro,322.1004964
Low,18.44134045,2.713985708,Nano,118.3464052
Low,7.515169009,1.384553635,Mega,101.4529068
High,33.16642967,1.289134539,Mega,324.0969621
High,22.33691421,3.305106634,Nano,260.4652558
Medium,16.52948801,3.351418583,Micro,223.6950619
High,25.27194402,7.717105296,Nano,267.8036097
Low,12.52223274,0.056339938,Micro,119.0233823
Low,5.564666466,0.327746146,Nano,82.64871392
High,22.36101534,2.23634963,Nano,262.5974491
High,24.16999806,3.53517966,Macro,286.0300404
Low,5.161887001,0.592363282,Macro,126.0282242
Medium,21.37608291,4.584668421,Micro,236.5744786
Low,4.55390149,0.028845079,Macro,44.26360954
Medium,12.6264151,1.734419715,Micro,232.3602699
High,26.23075658,4.307673455,Mega,347.5747397
High,22.15841736,2.535527683,Mega,263.5079422
High,36.46675337,5.635992458,Mega,
Medium,14.31611675,3.134427989,Macro,215.4557751
Medium,21.10276132,1.895651693,Mega,166.6313611
Medium,23.84490026,1.673252591,Nano,244.0284657
Low,5.580487693,4.347285454,Macro,134.4459731
Medium,17.99966763,0.689676121,Nano,210.8050442
Medium,11.95627229,1.748785255,Micro,148.9220025
High,29.76975537,2.856585742,Macro,270.4881539
High,33.32069261,3.488541517,Macro,340.9498167
Low,10.97367816,2.558390415,Mega,102.9788304
High,31.45066121,5.395932867,Mega,343.9108493
Low,8.077501591,0.013230147,Nano,48.30375112
Low,4.174456912,0.233593939,Mega,90.43207739
Low,12.54018005,1.757871648,Nano,90.33184491
High,30.45987894,6.350355454,Mega,315.1792046
High,23.07796216,2.215638886,Macro,273.2603079
High,23.68899056,8.226684392,Micro,285.2438359
Medium,20.7102426,5.120845126,Mega,250.4564617
High,31.97193882,4.698021921,Micro,269.3323638
High,32.02831924,6.749787308,Macro,274.0390217
Medium,23.21993797,3.253903065,Mega,201.139224
High,25.78893457,5.871907356,Mega,315.0931833
Medium,24.07212451,5.369232218,Macro,194.5590745
Medium,19.21888874,0.582177191,Micro,209.0179563
Medium,13.48211131,1.979575976,Nano,150.7074655
Low,9.820597494,3.39200924,Mega,104.1918592
Low,3.934783488,0.328469804,Nano,72.62590273
Low,8.244629705,1.142500735,Mega,91.69977322
Medium,20.69486154,3.953574081,Nano,192.682492
High,30.73728576,8.980234377,Micro,341.4281402
Medium,23.26848576,1.478256831,Nano,172.097695
Medium,23.31774328,5.445912683,Micro,249.273605
High,30.62242105,6.78586305,Mega,295.0049381
Low,7.46670429,1.363468221,Mega,38.13925808
High,21.66131793,4.286278224,Micro,284.9795608
High,37.34694168,3.515729693,Micro,348.2155671
Medium,15.6542643,1.535037337,Micro,213.0470224
Low,0.218030497,0.337638266,Mega,48.94881206
Medium,20.55128397,1.437485088,Micro,200.475809
High,25.02655962,4.133996812,Nano,314.9454726
Medium,17.04016276,3.156623295,Macro,190.4596035
Medium,17.88145952,0.076059762,Macro,169.2278032
High,39.10625599,8.950138985,Macro,316.1863507
High,32.63667971,6.619127623,Macro,304.419999
Low,7.191053729,0.032587652,Nano,98.73333034
High,27.93960266,6.37750394,Macro,307.7189371
Medium,24.64687638,6.444050052,Micro,189.4984681
High,34.15861088,5.82074361,Micro,330.640837
Medium,19.21061664,3.087815141,Macro,221.7316739
Low,10.64010399,0.805867329,Micro,116.151319
Low,7.726151916,2.074506079,Macro,66.31751682
Medium,17.50679395,1.258508241,Micro,148.0600815
Medium,23.04076574,5.078547759,Micro,225.4093744
High,22.44968986,0.305109692,Nano,263.346636
Medium,9.42171819,0.760326336,Macro,190.0490835
Medium,15.39714942,2.588692921,Nano,192.9638874
Low,6.743957107,1.708179361,Micro,129.0150235
High,33.9556193,4.479871088,Nano,299.3466037
High,24.11731486,7.885150229,Micro,297.4179838
Medium,24.34232653,3.136783252,Nano,233.9109001
Medium,18.70522915,2.412966303,Macro,219.7053032
Medium,24.16107957,4.792641558,Nano,180.7850909
Medium,24.63674178,3.396340616,Macro,186.8078147
Medium,27.20006849,8.702652377,Mega,153.6567212
Medium,15.55341525,1.648887001,Mega,161.7368695
High,28.27700983,7.015215591,Nano,310.222468
Medium,24.69295619,1.758171533,Nano,231.1410974
Low,,4.132525561,Macro,78.03149813
High,31.8388312,3.84892856,Micro,292.0247067
Low,5.013390243,0.840971884,Nano,41.3738608
High,23.80959139,1.915047092,Nano,276.9190626
Medium,16.5687787,3.151386833,Nano,200.3812647
Low,10.56614422,2.638889554,Mega,128.4165943
Medium,21.5538865,2.029129901,Micro,247.150991
Medium,18.70863089,1.950714199,Mega,244.4055513
Medium,26.56931113,4.516217387,Macro,211.0368497
Low,8.338703112,1.45363758,Mega,133.2701918
Medium,15.57190659,3.193752933,Nano,162.7009564
Medium,17.26939778,4.424545391,Micro,158.5720707
Medium,10.29724464,1.36503372,Mega,188.667483
Medium,25.37570136,5.073874121,Micro,237.5702299
Medium,14.23410457,7.556928483,Nano,154.9981773
Medium,18.85597236,2.305723529,Micro,167.6367081
Low,1.768192165,2.568925254,Macro,58.27357746
Medium,13.4913782,0.427454636,Macro,164.1527348
High,33.19290751,6.567471154,Micro,287.314256
Low,0.199780147,2.12760286,Mega,43.29659298
Low,4.595233625,0.581271839,Micro,104.5145469
High,33.7322487,2.828376137,Micro,337.1550219
High,18.86747737,2.041285539,Nano,281.5009425
High,27.88320654,7.467941688,Nano,282.7480985
Low,15.28573168,0.430381993,Micro,88.88778996
Low,2.112089417,2.920708705,Mega,32.23703002
High,30.25054026,5.5311094,Macro,296.709142
Low,17.01736977,3.049292563,Micro,98.52768262
Low,11.50047978,0.639035727,Mega,95.2140988
Low,5.04461794,2.012805814,Macro,138.8562113
Low,2.386864323,0.60145585,Micro,63.1760749
Low,5.584323781,0.170465605,Mega,39.21297668
Medium,18.15994431,0.318088036,Mega,182.9296042
Low,9.002412712,0.609849942,Nano,105.433105
Medium,6.58132946,1.641510704,Macro,148.4648245
Medium,17.73126576,1.135948669,Micro,200.1080526
Medium,26.14881955,1.866911198,Nano,219.0783537
High,26.42486812,1.19268299,Micro,301.0353218
Medium,4.246828009,1.182699755,Micro,151.641576
Medium,19.56867636,4.721144433,Micro,214.0505181
Medium,24.87104934,5.036281432,Nano,174.9861639
High,30.64496663,6.844189108,Micro,286.0981654
Medium,16.33680868,2.608252956,Nano,164.1198541
High,25.36070505,3.636620364,Micro,260.1040896
Low,3.117856352,1.381985223,Macro,113.4593656
Low,4.450949726,4.79777927,Micro,123.5891212
High,38.41522497,7.673636553,Micro,336.7606331
Medium,15.96668752,5.046547629,Micro,148.2024141
High,28.88737713,5.953678828,Micro,264.6641446
Low,10.70057023,0.582369459,Nano,79.2014725
High,24.96773561,6.371890502,Micro,294.6586689
High,22.9553127,2.642504816,Mega,272.6321364
High,27.79645954,3.915785408,Macro,270.3551046
Low,5.24203637,1.379918092,Mega,49.39806523
Low,11.88643795,1.558209074,Micro,82.54907175
Low,4.702788925,1.325031956,Mega,47.20872537
Low,2.2842643,1.365836702,Mega,59.33841514
High,28.21073834,4.373466421,Micro,302.8879982
Medium,23.57866143,2.856656795,Mega,232.5550232
Low,9.169823519,0.067278862,Nano,73.88883844
Low,11.56340328,1.727947024,Nano,121.9495696
Medium,18.81480053,3.440682119,Mega,182.5116139
