DISTNAME,STATNAME,BLOCKS,VILLAGES,CLUSTERS,TOTPOPULAT,OVERALL_LI
DISTRICT645,STATE33,3,386,103,659260.0,75.26
DISTRICT210,STATE33,4,665,116,953773.0,70.53
DISTRICT250,STATE33,2,506,61,481818.0,64.71
DISTRICT225,STATE33,3,734,96,832769.0,66.6
DISTRICT354,STATE33,2,192,46,1260419.0,88.66
DISTRICT639,STATE34,12,876,28,1842034.0,79.92
DISTRICT395,STATE34,11,1107,139,3869675.0,73.79
DISTRICT190,STATE34,18,1634,148,2822780.0,75.49
DISTRICT76,STATE34,13,1131,115,3000849.0,60.13
DISTRICT255,STATE34,10,920,78,1670931.0,73.86
DISTRICT40,STATE34,17,1848,155,3997970.0,62.71
DISTRICT254,STATE34,33,3142,286,7102430.0,67.53
DISTRICT664,STATE34,25,1704,184,3502387.0,70.9
DISTRICT329,STATE34,42,3175,349,7723663.0,77.15
DISTRICT252,STATE34,27,2227,232,5168488.0,75.58
DISTRICT388,STATE34,50,3042,338,10082852.0,84.95
DISTRICT269,STATE34,31,2301,64,5520389.0,82.55
DISTRICT494,STATE34,25,2179,223,3596292.0,70.95
DISTRICT154,STATE34,23,1743,176,2927965.0,65.38
DISTRICT460,STATE34,17,1666,286,4841638.0,83.85
DISTRICT183,STATE34,1,141,94,4486679.0,87.14
DISTRICT13,STATE34,36,3803,349,8153176.0,78.57
DISTRICT561,STATE34,30,3963,61,5094238.0,87.66
DISTRICT230,STATE34,37,3430,324,5943300.0,79.04
DISTRICT18,STATE34,5,371,63,509709.0,85.46
DISTRICT165,STATE34,7,776,107,,
DISTRICT656,STATE23,19,794,78,1322387.0,62.18
DISTRICT405,STATE23,20,1634,144,1936319.0,65.5
DISTRICT66,STATE23,12,1169,116,1042304.0,62.14
DISTRICT531,STATE23,16,1063,114,1734005.0,70.48
DISTRICT512,STATE23,6,589,30,717169.0,68.35
DISTRICT223,STATE23,13,2573,146,2445203.0,65.12
DISTRICT668,STATE23,10,2085,105,1491879.0,66.34
DISTRICT342,STATE23,9,1381,120,1311382.0,57.68
DISTRICT559,STATE23,9,1282,74,1150038.0,53.73
DISTRICT590,STATE23,6,933,55,899200.0,50.17
DISTRICT410,STATE23,10,2143,128,1321096.0,62.54
DISTRICT349,STATE23,9,1155,107,2682662.0,75.71
DISTRICT540,STATE23,9,780,101,2061918.0,73.48
DISTRICT220,STATE23,18,1344,131,2912022.0,77.13
DISTRICT521,STATE23,7,352,46,461738.0,68.29
DISTRICT60,STATE23,12,1202,120,1025656.0,66.92
DISTRICT77,STATE23,18,1531,126,1501619.0,59.54
DISTRICT382,STATE23,11,1323,148,2291032.0,76.13
DISTRICT423,STATE23,6,1117,80,790207.0,63.73
DISTRICT455,STATE23,9,1217,55,1063458.0,68.85
DISTRICT598,STATE23,10,450,69,599813.0,67.59
DISTRICT352,STATE23,9,696,50,725673.0,61.23
DISTRICT231,STATE23,6,657,63,530299.0,64.51
DISTRICT281,STATE23,6,392,58,949159.0,73.92
DISTRICT378,STATE24,15,1187,157,,
DISTRICT591,STATE24,8,385,60,,
DISTRICT171,STATE24,14,996,149,,
DISTRICT421,STATE24,4,491,51,312164.0,73.07
DISTRICT46,STATE24,21,1594,222,2080664.0,74.13
DISTRICT640,STATE24,17,1857,191,1802777.0,69.0
DISTRICT406,STATE24,30,3238,384,2513895.0,63.98
DISTRICT94,STATE24,16,1830,207,2317419.0,80.66
DISTRICT334,STATE24,9,1094,124,439917.0,72.51
DISTRICT95,STATE24,11,1238,152,1439891.0,85.93
DISTRICT600,STATE24,11,1051,130,1136604.0,87.13
DISTRICT468,STATE24,19,1515,214,2618708.0,84.2
DISTRICT222,STATE24,12,1448,152,1826275.0,80.44
DISTRICT309,STATE24,12,913,140,1192948.0,79.41
DISTRICT529,STATE24,11,1220,134,1271703.0,78.96
DISTRICT550,STATE24,10,1024,103,962215.0,79.17
DISTRICT86,STATE24,15,1097,182,2246341.0,87.51
DISTRICT311,STATE24,15,1295,192,1697983.0,85.37
DISTRICT118,STATE24,40,2460,338,3520151.0,71.88
DISTRICT543,STATE24,9,1179,133,575880.0,54.29
DISTRICT414,STATE24,14,1584,167,731952.0,65.12
DISTRICT425,STATE24,4,762,61,1506522.0,83.25
DISTRICT623,STATE24,9,746,94,652107.0,74.42
DISTRICT304,STATE24,19,1774,209,1648574.0,65.5
DISTRICT488,STATE24,8,627,87,606490.0,58.2
DISTRICT422,STATE24,17,1641,210,1573054.0,60.22
DISTRICT614,STATE24,14,1843,182,961959.0,50.88
DISTRICT116,STATE24,12,870,166,1218762.0,48.2
DISTRICT56,STATE24,18,1585,179,1376934.0,49.87
DISTRICT471,STATE24,9,790,110,612727.0,49.49
DISTRICT325,STATE31,5,694,81,659039.0,71.41
DISTRICT643,STATE31,7,630,113,2361329.0,61.16
DISTRICT143,STATE31,8,813,135,852043.0,68.6
DISTRICT353,STATE31,9,1360,168,1493627.0,73.7
DISTRICT141,STATE31,5,797,118,1206563.0,73.22
DISTRICT16,STATE31,9,927,132,1620632.0,73.7
DISTRICT144,STATE31,7,1064,108,2662077.0,71.59
DISTRICT284,STATE31,4,932,90,822239.0,61.95
DISTRICT44,STATE31,9,1691,151,1537520.0,76.97
DISTRICT641,STATE31,3,567,61,3343079.0,79.69
DISTRICT651,STATE31,4,721,86,4062160.0,76.43
DISTRICT318,STATE31,5,1172,120,1032275.0,71.54
DISTRICT565,STATE31,4,696,81,799199.0,78.95
DISTRICT170,STATE31,7,1268,137,748593.0,70.97
DISTRICT103,STATE31,7,887,133,1411644.0,54.94
DISTRICT461,STATE31,4,360,53,532791.0,42.67
DISTRICT376,STATE31,5,632,103,,
DISTRICT212,STATE31,2,244,30,,
DISTRICT439,STATE31,3,628,56,,
DISTRICT419,STATE31,4,512,61,,
DISTRICT445,STATE31,3,524,56,,
DISTRICT166,STATE31,5,771,93,,
DISTRICT317,STATE31,4,719,70,,
DISTRICT14,STATE31,6,1051,118,,
DISTRICT331,STATE31,5,786,85,,
DISTRICT59,STATE31,6,700,114,,
DISTRICT548,STATE31,6,688,111,,
DISTRICT586,STATE22,3,598,29,687952.0,58.02
DISTRICT502,STATE22,7,839,64,1965137.0,72.07
DISTRICT257,STATE22,6,1128,70,1703562.0,76.59
DISTRICT483,STATE22,5,791,56,2030543.0,77.93
DISTRICT173,STATE22,3,686,34,786375.0,73.5
DISTRICT189,STATE22,8,1630,80,1725818.0,63.73
DISTRICT567,STATE22,5,1263,70,1240938.0,65.1
DISTRICT367,STATE22,6,843,66,1444920.0,62.57
DISTRICT428,STATE22,8,1824,74,1762857.0,64.9
DISTRICT375,STATE22,5,1145,63,1016028.0,66.08
DISTRICT338,STATE22,11,1896,90,2378295.0,77.52
DISTRICT466,STATE22,7,988,56,1263703.0,70.92
DISTRICT413,STATE22,8,1840,99,2228619.0,73.79
DISTRICT431,STATE22,9,1778,143,2363744.0,73.42
DISTRICT48,STATE22,3,591,33,643579.0,67.34
DISTRICT619,STATE22,5,859,57,1064989.0,68.36
DISTRICT572,STATE22,5,941,64,1126515.0,66.09
DISTRICT296,STATE22,3,763,35,825958.0,71.81
DISTRICT33,STATE22,5,904,51,1339832.0,72.75
DISTRICT644,STATE22,6,1224,68,1454483.0,68.03
DISTRICT433,STATE22,7,1195,60,1986597.0,73.55
DISTRICT403,STATE22,4,630,40,1512353.0,70.17
DISTRICT580,STATE22,6,1167,59,1563107.0,70.53
DISTRICT320,STATE22,6,819,65,1024091.0,44.45
DISTRICT5,STATE22,13,1626,114,2184672.0,60.57
DISTRICT205,STATE22,5,762,49,3272335.0,82.32
DISTRICT350,STATE22,9,1208,98,1872413.0,63.98
DISTRICT69,STATE22,7,708,78,1385659.0,50.23
DISTRICT195,STATE22,7,756,47,1309443.0,67.53
DISTRICT65,STATE22,6,1626,77,1546541.0,62.68
DISTRICT652,STATE22,7,1430,73,1458212.0,72.08
DISTRICT624,STATE22,4,548,32,2368145.0,82.26
DISTRICT155,STATE22,5,1116,58,1311008.0,71.11
DISTRICT42,STATE22,7,1404,74,1331699.0,74.26
DISTRICT386,STATE22,10,1525,79,1575247.0,70.14
DISTRICT107,STATE22,3,522,24,570302.0,74.04
DISTRICT119,STATE22,7,1014,54,1240975.0,76.52
DISTRICT673,STATE22,6,947,54,1291684.0,73.62
DISTRICT237,STATE22,8,1372,63,2460714.0,82.47
DISTRICT248,STATE22,6,1030,52,1092141.0,76.79
DISTRICT363,STATE22,7,851,51,704218.0,65.47
DISTRICT91,STATE22,9,1205,73,1053522.0,68.28
DISTRICT246,STATE22,11,1910,99,2090306.0,72.21
DISTRICT135,STATE22,8,1544,80,1378876.0,73.01
DISTRICT515,STATE22,10,1709,78,1701156.0,78.29
DISTRICT654,STATE22,4,847,33,844979.0,67.9
DISTRICT524,STATE22,4,623,46,749521.0,69.08
DISTRICT545,STATE22,2,306,21,756993.0,65.28
DISTRICT429,STATE22,6,612,62,728677.0,37.22
DISTRICT571,STATE22,3,714,55,1178132.0,62.36
DISTRICT233,STATE22,4,505,32,,
DISTRICT558,STATE9,10,1011,247,2090313.0,71.58
DISTRICT443,STATE9,14,1377,282,3116045.0,66.39
DISTRICT297,STATE9,9,679,109,1342746.0,73.47
DISTRICT306,STATE9,10,730,146,2027727.0,84.26
DISTRICT54,STATE9,8,684,167,2427346.0,76.6
DISTRICT671,STATE9,4,490,96,1387478.0,85.78
DISTRICT481,STATE9,11,683,186,7208200.0,86.65
DISTRICT615,STATE9,10,602,124,1755873.0,73.19
DISTRICT273,STATE9,12,640,150,3799770.0,82.2
DISTRICT674,STATE9,6,432,110,2159130.0,74.4
DISTRICT357,STATE9,3,163,48,586062.0,76.63
DISTRICT665,STATE9,10,521,100,2742291.0,76.88
DISTRICT511,STATE9,11,626,120,1513614.0,74.49
DISTRICT611,STATE9,10,697,147,2877961.0,76.84
DISTRICT676,STATE9,8,362,164,2090276.0,85.79
DISTRICT277,STATE9,10,558,179,2298934.0,84.31
DISTRICT434,STATE9,7,578,171,2388267.0,72.32
DISTRICT10,STATE9,8,736,175,2126558.0,60.6
DISTRICT98,STATE9,9,890,138,4157568.0,81.21
DISTRICT300,STATE9,5,651,84,590379.0,73.29
DISTRICT625,STATE9,9,711,131,1550822.0,83.03
DISTRICT278,STATE9,10,872,170,6079231.0,86.65
DISTRICT97,STATE9,3,311,42,226769.0,76.8
DISTRICT110,STATE9,6,399,103,1330711.0,84.78
DISTRICT200,STATE9,6,486,135,1703068.0,80.94
DISTRICT537,STATE9,7,556,81,806489.0,69.23
DISTRICT153,STATE9,6,629,161,,
DISTRICT179,STATE9,4,195,40,,
DISTRICT530,STATE9,4,269,83,,
DISTRICT139,STATE9,6,360,85,,
DISTRICT106,STATE9,6,648,135,,
DISTRICT89,STATE9,6,929,116,,
DISTRICT137,STATE9,5,402,82,,
DISTRICT72,STATE10,1,13,3,52056.0,83.36
DISTRICT444,STATE10,1,26,4,190855.0,88.06
DISTRICT161,STATE8,1,70,11,342853.0,77.65
DISTRICT597,STATE17,6,1206,96,1646177.0,63.04
DISTRICT546,STATE17,5,896,89,2048781.0,74.61
DISTRICT188,STATE17,16,1437,173,4224442.0,79.73
DISTRICT2,STATE17,13,1212,140,2588039.0,82.09
DISTRICT333,STATE17,8,853,99,1818617.0,87.55
DISTRICT27,STATE17,6,683,74,1196714.0,81.7
DISTRICT440,STATE17,15,1465,167,2887826.0,88.23
DISTRICT556,STATE17,8,876,92,1296157.0,87.22
DISTRICT482,STATE17,18,1793,200,4653171.0,89.52
DISTRICT489,STATE17,7,749,63,1198810.0,85.14
DISTRICT589,STATE17,8,973,89,1322331.0,85.41
DISTRICT115,STATE17,12,1539,103,1071795.0,70.55
DISTRICT603,STATE17,15,1536,141,2194262.0,81.35
DISTRICT241,STATE17,16,1755,193,2775457.0,80.7
DISTRICT415,STATE17,17,1643,176,3356566.0,76.94
DISTRICT283,STATE17,5,765,68,1178973.0,76.04
DISTRICT181,STATE17,10,874,87,1835982.0,75.22
DISTRICT499,STATE17,8,1128,107,1958483.0,73.61
DISTRICT148,STATE17,11,1427,139,3695928.0,80.4
DISTRICT392,STATE17,18,2037,288,6109052.0,80.96
DISTRICT274,STATE17,12,1202,195,11054131.0,86.18
DISTRICT224,STATE17,12,47,149,9332481.0,90.9
DISTRICT175,STATE17,7,30,37,3145966.0,88.48
DISTRICT275,STATE17,15,1782,237,2635394.0,83.89
DISTRICT417,STATE17,20,1921,386,9426959.0,87.19
DISTRICT635,STATE17,15,1584,261,4543083.0,80.22
DISTRICT527,STATE17,12,1794,167,2585962.0,73.53
DISTRICT71,STATE17,12,1193,137,2455543.0,79.03
DISTRICT211,STATE17,8,764,81,1660311.0,76.33
DISTRICT6,STATE17,13,1203,231,4315527.0,77.72
DISTRICT496,STATE17,11,2026,227,3003922.0,84.2
DISTRICT314,STATE17,9,1459,254,1612672.0,82.43
DISTRICT308,STATE17,8,721,144,848868.0,86.54
DISTRICT24,STATE17,13,1298,190,3874015.0,82.9
DISTRICT626,STATE17,11,784,152,2820575.0,82.62
DISTRICT506,STATE17,8,1006,151,,
DISTRICT437,STATE7,38,1521,397,2699471.0,62.3
DISTRICT411,STATE7,34,1366,243,2342868.0,59.49
DISTRICT73,STATE7,43,2197,332,4288113.0,67.7
DISTRICT213,STATE7,64,1447,445,5151549.0,71.35
DISTRICT204,STATE7,48,871,367,3934782.0,74.32
DISTRICT92,STATE7,50,927,414,4529009.0,74.37
DISTRICT87,STATE7,57,718,378,4889230.0,67.99
DISTRICT321,STATE7,56,957,371,3392764.0,63.53
DISTRICT113,STATE7,46,1044,307,2966082.0,69.15
DISTRICT108,STATE7,51,835,381,2884524.0,67.88
DISTRICT235,STATE7,54,904,308,4046601.0,61.13
DISTRICT58,STATE7,63,916,565,4083315.0,64.28
DISTRICT492,STATE7,66,1372,568,4170468.0,72.36
DISTRICT239,STATE20,6,807,126,4778439.0,73.94
DISTRICT473,STATE20,6,785,126,1890826.0,69.39
DISTRICT469,STATE20,7,764,178,2175102.0,67.2
DISTRICT631,STATE20,8,1056,168,2564892.0,65.65
DISTRICT516,STATE20,5,803,130,1700018.0,71.01
DISTRICT316,STATE20,5,946,125,1924773.0,60.46
DISTRICT409,STATE20,4,676,81,1391292.0,67.28
DISTRICT605,STATE20,6,439,84,1065235.0,75.18
DISTRICT70,STATE20,7,427,84,1846993.0,80.3
DISTRICT359,STATE20,5,442,86,1436847.0,84.03
DISTRICT83,STATE20,7,840,110,1598506.0,77.6
DISTRICT420,STATE20,8,674,128,2532383.0,67.85
DISTRICT393,STATE20,6,1087,151,1660378.0,73.82
DISTRICT268,STATE20,7,878,131,1946905.0,76.3
DISTRICT219,STATE20,7,1468,170,1755512.0,80.5
DISTRICT96,STATE20,5,308,79,1177908.0,86.29
DISTRICT462,STATE20,8,950,123,1137753.0,79.24
DISTRICT457,STATE20,6,1450,179,2681449.0,74.32
DISTRICT408,STATE20,6,1506,145,1540231.0,74.33
DISTRICT105,STATE20,5,584,96,,
DISTRICT633,STATE20,4,899,89,987257.0,78.29
DISTRICT497,STATE20,8,1355,145,1808680.0,70.14
DISTRICT396,STATE20,8,1971,208,1776221.0,75.89
DISTRICT369,STATE20,7,487,114,2083625.0,88.62
DISTRICT176,STATE20,3,286,42,554762.0,82.52
DISTRICT397,STATE20,9,1636,171,2994744.0,72.56
DISTRICT508,STATE20,5,694,70,1020962.0,61.12
DISTRICT17,STATE20,4,359,59,9588910.0,88.48
DISTRICT666,STATE20,6,1203,121,1254377.0,70.08
DISTRICT236,STATE20,8,687,164,,
DISTRICT383,STATE20,4,832,102,,
DISTRICT348,STATE20,4,779,106,1082739.0,69.2
DISTRICT43,STATE20,3,589,76,1172985.0,52.36
DISTRICT606,STATE20,6,782,96,,
DISTRICT3,STATE30,6,336,66,817761.0,88.85
DISTRICT513,STATE30,6,194,45,639962.0,85.53
DISTRICT23,STATE19,3,10,9,64429.0,92.28
DISTRICT263,STATE5,7,42,88,1302600.0,89.85
DISTRICT160,STATE5,15,142,93,2525637.0,95.41
DISTRICT592,STATE5,3,50,38,816558.0,89.32
DISTRICT228,STATE5,15,131,121,3089543.0,95.24
DISTRICT104,STATE5,15,128,136,4110956.0,93.55
DISTRICT74,STATE5,13,124,125,2810892.0,88.49
DISTRICT234,STATE5,18,518,169,3110327.0,95.32
DISTRICT402,STATE5,15,164,111,3279860.0,95.68
DISTRICT29,STATE5,8,69,61,1107453.0,92.2
DISTRICT78,STATE5,13,122,84,1979384.0,96.4
DISTRICT15,STATE5,11,108,82,2121943.0,96.26
DISTRICT55,STATE5,9,64,60,1195537.0,96.93
DISTRICT41,STATE5,12,106,75,2629703.0,93.77
DISTRICT454,STATE5,12,139,132,3307284.0,92.66
DISTRICT435,STATE6,14,1234,133,3725697.0,83.82
DISTRICT622,STATE6,10,187,110,4681087.0,90.33
DISTRICT128,STATE6,14,903,172,3990897.0,85.29
DISTRICT655,STATE6,22,802,203,3928106.0,79.65
DISTRICT577,STATE6,8,1012,100,1502900.0,64.71
DISTRICT609,STATE6,18,1470,167,2468965.0,74.72
DISTRICT384,STATE6,22,1395,234,3463284.0,72.08
DISTRICT172,STATE6,21,601,174,3480008.0,73.23
DISTRICT484,STATE6,15,333,83,1721179.0,74.92
DISTRICT399,STATE6,20,626,142,2259608.0,72.96
DISTRICT169,STATE6,4,53,45,735071.0,85.65
DISTRICT101,STATE6,22,566,199,3472578.0,84.31
DISTRICT25,STATE6,16,393,164,2161367.0,76.85
DISTRICT372,STATE6,8,200,75,1076588.0,75.86
DISTRICT117,STATE6,16,496,183,2713858.0,83.56
DISTRICT30,STATE6,10,508,107,564511.0,74.68
DISTRICT557,STATE6,14,827,172,2600880.0,79.04
DISTRICT145,STATE6,11,489,100,1614069.0,84.09
DISTRICT573,STATE6,10,473,96,1268094.0,83.26
DISTRICT299,STATE6,15,765,165,2402781.0,82.72
DISTRICT660,STATE6,13,552,145,1618725.0,77.76
DISTRICT80,STATE6,12,615,112,1341250.0,80.46
DISTRICT538,STATE6,15,693,165,3041038.0,81.66
DISTRICT131,STATE6,8,102,80,1243684.0,77.62
DISTRICT75,STATE6,11,466,134,1943309.0,80.75
DISTRICT634,STATE6,11,1042,121,1337560.0,81.48
DISTRICT646,STATE6,13,637,108,1738376.0,86.52
DISTRICT201,STATE6,21,548,192,3072880.0,82.92
DISTRICT528,STATE6,9,112,89,1863174.0,92.14
DISTRICT370,STATE6,10,1201,122,1883731.0,72.41
DISTRICT493,STATE32,1,6,2,55616.0,80.26
DISTRICT336,STATE32,3,95,22,946600.0,86.13
DISTRICT79,STATE32,1,6,1,41934.0,98.35
DISTRICT617,STATE32,1,38,8,200314.0,87.83
DISTRICT123,STATE11,3,80,16,237586.0,88.49
DISTRICT147,STATE11,3,42,8,36819.0,77.5
DISTRICT206,STATE11,3,76,13,105539.0,84.25
DISTRICT371,STATE29,52,1555,233,2737738.0,61.55
DISTRICT620,STATE29,36,822,129,2552073.0,62.25
DISTRICT477,STATE29,57,1045,203,3811738.0,64.87
DISTRICT599,STATE29,46,1214,184,3031877.0,62.53
DISTRICT136,STATE29,16,71,48,4010238.0,80.96
DISTRICT522,STATE29,37,876,137,5296396.0,78.05
DISTRICT498,STATE29,64,1458,230,4042191.0,56.06
DISTRICT343,STATE29,59,1117,216,3483648.0,65.05
DISTRICT130,STATE29,51,993,211,3522644.0,66.16
DISTRICT341,STATE29,41,783,185,2798214.0,65.46
